iter	RMSE
0	34.39155184
1	33.05204935
2	32.03852846
3	30.95287066
4	30.01726668
5	29.11732137
6	28.28309534
7	27.65010531
8	27.21830463
9	26.78057288
10	26.40154562
11	25.90688705
12	25.47810305
13	25.07340291
14	24.67714583
15	24.36989187
16	24.08629684
17	23.73090459
18	23.44634195
19	23.26495918
20	23.00330743
21	22.72916868
22	22.51974216
23	22.34536319
24	22.19824464
25	22.0194859
26	21.88318247
27	21.74879169
28	21.6396024
29	21.54363799
30	21.45145415
31	21.32958075
32	21.21968589
33	21.13410157
34	21.01143202
35	20.94534744
36	20.86371562
37	20.79929888
38	20.67541495
39	20.57420048
40	20.44324273
41	20.37578297
42	20.28090629
43	20.21438499
44	20.14610404
45	20.01149977
46	19.92143712
47	19.87980991
48	19.81916549
49	19.71875203
50	19.63616144
51	19.54561361
52	19.48575333
53	19.41664838
54	19.37966913
55	19.34456692
56	19.2616468
57	19.23057047
58	19.16000546
59	19.09947195
60	19.03038826
61	18.98418811
62	18.91111158
63	18.84789125
64	18.7899799
65	18.73607836
66	18.69468249
67	18.64786778
68	18.59855856
69	18.51346563
70	18.47452933
71	18.3845098
72	18.33471192
73	18.25297281
74	18.19794006
75	18.16716673
76	18.11251913
77	18.05187509
78	18.01522872
79	17.9783579
80	17.92356995
81	17.8613986
82	17.79362512
83	17.78295829
84	17.75227655
85	17.73362215
86	17.68323665
87	17.61498939
88	17.55810973
89	17.52367342
90	17.48078058
91	17.43577796
92	17.38314214
93	17.34168572
94	17.30441469
95	17.23899919
96	17.21537714
97	17.18182972
98	17.14166568
99	17.09104377
100	17.06483516
101	17.04896384
102	17.01999543
103	16.99111666
104	16.91994823
105	16.90605031
106	16.86575204
107	16.81806017
108	16.75832919
109	16.69867986
110	16.6715122
111	16.62169176
112	16.6088637
113	16.60381976
114	16.59510645
115	16.56018866
116	16.55505008
117	16.52931044
118	16.49986055
119	16.4840072
120	16.41956505
121	16.37355631
122	16.36851924
123	16.3385782
124	16.29747488
125	16.24579763
126	16.21038708
127	16.17015719
128	16.13731829
129	16.10529993
130	16.09442762
131	16.04674817
132	16.03318718
133	16.02529822
134	16.01886184
135	15.97495544
136	15.92104773
137	15.8950476
138	15.85339157
139	15.79253087
140	15.76428766
141	15.7069009
142	15.66585448
143	15.66368835
144	15.6492367
145	15.62608812
146	15.59623492
147	15.57474726
148	15.53954279
149	15.50539541
150	15.44659901
151	15.43740694
152	15.40040677
153	15.39608476
154	15.35389248
155	15.30389491
156	15.27300679
157	15.23440433
158	15.21309009
159	15.2083746
160	15.15380148
161	15.15111926
162	15.14348758
163	15.11852558
164	15.11231978
165	15.0924988
166	15.05811871
167	15.01919517
168	15.01179862
169	14.96003358
170	14.93104239
171	14.89337933
172	14.86193702
173	14.83359093
174	14.79471697
175	14.75903585
176	14.70638073
177	14.64104621
178	14.63922109
179	14.61335725
180	14.57573413
181	14.5517017
182	14.4990439
183	14.48596752
184	14.46133407
185	14.4298109
186	14.39809798
187	14.36931825
188	14.34815461
189	14.32508402
190	14.2749756
191	14.27073302
192	14.2458666
193	14.21352619
194	14.20982466
195	14.18923075
196	14.14863631
197	14.13006051
198	14.07854831
199	14.07269381
200	14.04776259
201	14.01950257
202	13.97616833
203	13.95855742
204	13.93791358
205	13.89689294
206	13.84282484
207	13.80372121
208	13.76126262
209	13.75971185
210	13.72971311
211	13.69623802
212	13.66786853
213	13.62513293
