iter	Passed	Remaining
0	151	75612
1	165	41138
2	177	29383
3	188	23379
4	199	19798
5	212	17486
6	226	15939
7	239	14737
8	251	13745
9	263	12923
10	275	12250
11	289	11759
12	301	11284
13	313	10866
14	325	10513
15	336	10185
16	348	9890
17	363	9729
18	376	9532
19	388	9332
20	401	9146
21	412	8972
22	423	8791
23	434	8624
24	446	8481
25	457	8342
26	469	8228
27	482	8131
28	496	8058
29	508	7964
30	521	7888
31	533	7807
32	545	7724
33	557	7643
34	569	7571
35	581	7489
36	592	7413
37	604	7349
38	619	7322
39	633	7280
40	645	7223
41	657	7170
42	670	7120
43	681	7062
44	693	7012
45	705	6963
46	717	6913
47	728	6863
48	744	6848
49	755	6803
50	769	6775
51	781	6735
52	793	6689
53	804	6645
54	815	6602
55	826	6556
56	838	6517
57	850	6484
58	865	6467
59	877	6436
60	888	6394
61	900	6361
62	912	6326
63	923	6290
64	934	6254
65	946	6222
66	957	6189
67	970	6162
68	984	6151
69	998	6131
70	1010	6102
71	1022	6077
72	1033	6048
73	1045	6017
74	1057	5991
75	1068	5962
76	1080	5936
77	1092	5909
78	1106	5894
79	1118	5873
80	1131	5854
81	1144	5832
82	1155	5806
83	1167	5780
84	1178	5753
85	1189	5726
86	1201	5704
87	1213	5683
88	1231	5685
89	1245	5674
90	1258	5657
91	1271	5640
92	1284	5620
93	1295	5595
94	1308	5577
95	1320	5558
96	1333	5539
97	1344	5516
98	1360	5510
99	1373	5494
100	1388	5485
101	1396	5449
102	1408	5429
103	1422	5414
104	1434	5397
105	1447	5380
106	1460	5362
107	1475	5355
108	1489	5343
109	1503	5331
110	1516	5315
111	1529	5298
112	1540	5275
113	1552	5256
114	1564	5238
115	1577	5221
116	1588	5198
117	1601	5184
118	1617	5177
119	1630	5164
120	1643	5146
121	1655	5128
122	1666	5108
123	1678	5090
124	1690	5070
125	1701	5049
126	1712	5029
127	1723	5010
128	1736	4993
129	1750	4980
130	1763	4967
131	1775	4950
132	1787	4931
133	1798	4912
134	1809	4893
135	1821	4875
136	1833	4858
137	1845	4840
138	1858	4827
139	1871	4812
140	1884	4797
141	1895	4779
142	1907	4762
143	1918	4743
144	1930	4726
145	1942	4709
146	1953	4691
147	1965	4673
148	1976	4656
149	1991	4647
150	2003	4630
151	2014	4612
152	2027	4597
153	2037	4578
154	2049	4561
155	2060	4544
156	2072	4527
157	2083	4510
158	2095	4493
159	2108	4480
160	2122	4468
161	2133	4451
162	2144	4434
163	2156	4417
164	2168	4401
165	2179	4385
166	2191	4369
167	2203	4353
168	2218	4345
169	2230	4329
170	2242	4314
171	2255	4300
172	2267	4285
173	2279	4270
174	2290	4254
175	2302	4237
176	2313	4221
177	2325	4206
178	2336	4189
179	2349	4176
180	2363	4164
181	2375	4150
182	2386	4134
183	2397	4118
184	2409	4102
185	2421	4087
186	2432	4071
187	2444	4056
188	2459	4047
189	2471	4032
190	2483	4018
191	2490	3994
192	2501	3979
193	2513	3964
194	2519	3940
195	2530	3925
196	2541	3909
197	2552	3893
198	2564	3878
199	2577	3865
200	2591	3855
201	2605	3843
202	2616	3827
203	2628	3813
204	2639	3797
205	2650	3783
206	2662	3768
207	2673	3753
208	2687	3741
209	2698	3726
210	2710	3712
211	2723	3699
212	2734	3684
213	2746	3670
214	2758	3656
215	2768	3640
216	2780	3626
217	2792	3611
218	2803	3596
219	2816	3584
220	2827	3569
221	2840	3556
222	2852	3542
223	2864	3529
224	2875	3514
225	2887	3500
226	2899	3486
227	2910	3472
228	2922	3458
229	2935	3445
230	2947	3432
231	2958	3417
232	2970	3403
233	2981	3389
234	2993	3375
235	3004	3360
236	3016	3347
237	3027	3332
238	3040	3320
239	3052	3306
240	3064	3293
241	3076	3279
242	3088	3266
243	3099	3252
244	3111	3238
245	3123	3224
246	3134	3210
247	3145	3196
248	3156	3182
249	3169	3169
250	3180	3155
251	3193	3142
252	3204	3128
253	3216	3115
254	3228	3102
255	3241	3089
256	3253	3075
257	3264	3062
258	3276	3048
259	3289	3036
260	3300	3022
261	3312	3008
262	3324	2995
263	3335	2981
264	3346	2968
265	3358	2954
266	3370	2940
267	3383	2928
268	3395	2915
269	3407	2902
270	3419	2889
271	3431	2876
272	3441	2862
273	3452	2847
274	3464	2834
275	3475	2820
276	3487	2807
277	3498	2793
278	3509	2779
279	3522	2767
280	3534	2754
281	3546	2741
282	3558	2728
283	3570	2715
284	3581	2702
285	3593	2688
286	3604	2675
287	3616	2662
288	3629	2650
289	3641	2636
290	3652	2623
