iter	RMSE
0	4113.80707
1	3764.9244
2	3482.32156
3	3255.440256
4	3074.467833
5	2921.48413
6	2797.109271
7	2702.191345
8	2621.338161
9	2558.181047
10	2502.253444
11	2455.802366
12	2414.286927
13	2378.73159
14	2348.173259
15	2323.352901
16	2300.230897
17	2280.847888
18	2265.267432
19	2250.456534
20	2236.000883
21	2221.334053
22	2208.51978
23	2195.57653
24	2183.901458
25	2175.007027
26	2164.645725
27	2154.313389
28	2145.480569
29	2138.01638
30	2131.282806
31	2123.435374
32	2115.843961
33	2107.468226
34	2102.759056
35	2096.275796
36	2089.920537
37	2085.029653
38	2079.828916
39	2075.630968
40	2071.673506
41	2067.421125
42	2063.605539
43	2058.506542
44	2053.440508
45	2049.261384
46	2042.870523
47	2039.753158
48	2034.682662
49	2029.816993
50	2025.662909
51	2021.934749
52	2017.315394
53	2013.669833
54	2009.679148
55	2005.897136
56	2002.016462
57	1999.607958
58	1997.002911
59	1994.113954
60	1989.768453
61	1987.375724
62	1983.783476
63	1980.195006
64	1977.401788
65	1973.817461
66	1970.895554
67	1969.056797
68	1966.252218
69	1963.042581
70	1959.346423
71	1956.675398
72	1954.341007
73	1952.250362
74	1949.48253
75	1945.860467
76	1943.040543
77	1941.117121
78	1939.170139
79	1936.47741
80	1934.015058
81	1931.878704
82	1929.769809
83	1927.391072
84	1925.743119
85	1923.435862
86	1920.937009
87	1918.751984
88	1916.494089
89	1914.012712
90	1912.105597
91	1909.907717
92	1908.035421
93	1905.895278
94	1904.020457
95	1902.60653
96	1900.77288
97	1898.972851
98	1897.080997
99	1895.67767
100	1894.185512
101	1892.063476
102	1890.555431
103	1888.525523
104	1886.43123
105	1885.050518
106	1883.422825
107	1881.483528
108	1880.189399
109	1878.650879
110	1876.878089
111	1875.337763
112	1873.657192
113	1871.871385
114	1869.825795
115	1868.327284
116	1866.933393
117	1864.542766
118	1862.612125
119	1861.199557
120	1859.574105
121	1858.033254
122	1856.540427
123	1854.51946
124	1852.914917
125	1851.428813
126	1849.827701
127	1848.397494
128	1847.010288
129	1845.79985
130	1844.067813
131	1842.972847
132	1841.68558
133	1840.539244
134	1839.375591
135	1838.447374
136	1837.301195
137	1835.958475
138	1834.989343
139	1833.195041
140	1831.879744
141	1830.634703
142	1829.379437
143	1827.988823
144	1826.858341
145	1826.092232
146	1824.644823
147	1823.283334
148	1821.619462
149	1820.481551
150	1819.489817
151	1818.672588
152	1817.69446
153	1816.252931
154	1815.203811
155	1813.535709
156	1812.639466
157	1811.530336
158	1810.58367
159	1809.671371
160	1808.592947
161	1807.334987
162	1806.401613
163	1805.158253
164	1804.186666
165	1802.958573
166	1802.234378
167	1800.886021
168	1799.992873
169	1799.125057
170	1797.830061
171	1796.94133
172	1795.807397
173	1794.508929
174	1793.468118
175	1791.861837
176	1790.873521
177	1790.036806
178	1788.961636
179	1788.11511
180	1786.946414
181	1786.058725
182	1785.244109
183	1784.290262
184	1783.776094
185	1782.615114
186	1781.636985
187	1780.855903
188	1779.834124
189	1779.132898
190	1778.469296
191	1777.405159
192	1776.626312
193	1775.854717
194	1775.192602
195	1774.295262
196	1773.250088
197	1772.481436
198	1771.395398
199	1770.839412
200	1770.034749
201	1769.276589
202	1768.158606
203	1767.289345
204	1766.592364
205	1765.648273
206	1764.592023
207	1763.760973
208	1762.910298
209	1761.920126
210	1761.315319
211	1760.688316
212	1759.69911
213	1758.937775
214	1758.374725
215	1757.525133
216	1756.772357
217	1755.918673
218	1755.309068
219	1754.268491
220	1753.492597
221	1752.600788
222	1751.713827
223	1751.072358
224	1750.418249
225	1749.919413
226	1749.285401
227	1748.733035
228	1748.166699
229	1747.160026
230	1746.443278
231	1745.857502
232	1745.196818
233	1744.188931
234	1742.908634
235	1741.867795
236	1741.331447
237	1740.775351
238	1740.090867
239	1739.388055
240	1738.571721
241	1737.756974
242	1737.0439
243	1736.416329
244	1735.31115
245	1734.606036
246	1733.925271
247	1733.355366
248	1732.735071
249	1732.275631
250	1731.755473
251	1731.192509
252	1730.743832
253	1730.142574
254	1729.503057
255	1729.063231
256	1728.348508
257	1727.66209
258	1726.794419
259	1726.0207
260	1725.215329
261	1724.397238
262	1723.638899
263	1722.967088
264	1722.137086
265	1721.532235
266	1720.947641
267	1720.448137
268	1719.892077
269	1719.095272
270	1718.463926
271	1717.751226
272	1717.337448
273	1716.776038
274	1716.00553
275	1715.270616
276	1714.520725
277	1713.963171
278	1713.364298
279	1712.650026
280	1712.032995
281	1711.323505
282	1710.616097
283	1710.032056
284	1709.525814
285	1708.928609
286	1708.342165
287	1707.722194
288	1707.322484
289	1706.687278
290	1706.11639
291	1705.749091
292	1704.994379
293	1704.444228
294	1703.935956
295	1703.309133
296	1702.561725
297	1701.965374
298	1701.085229
299	1700.64213
300	1699.871761
301	1699.19355
302	1698.561107
303	1697.920926
304	1697.460052
305	1697.029094
306	1696.471546
307	1695.956893
308	1695.178453
309	1694.615035
310	1693.944991
311	1693.491515
312	1692.960932
313	1692.417792
314	1691.61617
315	1691.11456
316	1690.39524
317	1689.869705
318	1689.043394
319	1688.605079
320	1688.059184
321	1687.728604
322	1687.211016
323	1686.770085
324	1686.210305
325	1685.677531
326	1685.126989
327	1684.448782
328	1683.809
329	1683.268061
330	1682.706505
331	1682.126436
332	1681.690533
333	1681.033345
334	1680.356395
335	1679.955357
336	1679.111074
337	1678.596337
338	1678.180796
339	1677.629495
340	1676.9263
341	1676.321029
342	1675.878628
343	1675.035262
344	1674.493122
345	1673.807027
346	1673.38356
347	1672.906781
348	1672.41251
349	1671.904763
350	1671.446317
351	1670.75175
352	1670.459645
353	1670.030335
354	1669.62532
355	1669.192395
356	1668.630142
357	1668.047456
358	1667.56166
359	1667.053174
360	1666.528367
361	1666.122883
362	1665.747004
363	1665.340374
364	1664.776345
365	1664.391608
366	1663.931186
367	1663.099986
368	1662.639414
369	1662.137682
370	1661.30705
371	1660.800213
372	1660.278234
373	1659.857233
374	1659.348103
375	1658.929696
376	1658.383143
377	1657.913927
378	1657.603941
379	1657.128317
380	1656.717657
381	1656.247637
382	1655.673575
383	1655.395516
384	1654.809108
385	1654.400605
