iter	Passed	Remaining
0	205	102772
1	279	69591
2	387	64160
3	480	59558
4	540	53475
5	601	49555
6	663	46746
7	737	45384
8	800	43658
9	859	42137
10	917	40792
11	979	39831
12	1046	39213
13	1114	38690
14	1186	38362
15	1260	38130
16	1325	37659
17	1386	37124
18	1445	36584
19	1498	35974
20	1552	35418
21	1614	35088
22	1670	34649
23	1728	34286
24	1789	34009
25	1853	33787
26	1908	33442
27	1972	33243
28	2028	32952
29	2091	32763
30	2148	32509
31	2205	32252
32	2266	32069
33	2331	31959
34	2389	31751
35	2446	31533
36	2502	31312
37	2552	31035
38	2608	30835
39	2661	30603
40	2722	30476
41	2783	30357
42	2837	30154
43	2889	29948
44	2948	29809
45	3007	29678
46	3062	29521
47	3115	29338
48	3171	29191
49	3226	29034
50	3286	28933
51	3347	28844
52	3401	28689
53	3461	28589
54	3517	28463
55	3570	28306
56	3623	28161
57	3678	28036
58	3732	27899
59	3800	27867
60	3864	27811
61	3920	27694
62	3974	27569
63	4025	27426
64	4078	27297
65	4135	27191
66	4189	27072
67	4246	26980
68	4304	26884
69	4361	26789
70	4419	26705
71	4474	26599
72	4526	26478
73	4578	26357
74	4637	26279
75	4699	26216
76	4753	26112
77	4812	26037
78	4884	26030
79	4941	25944
80	4996	25846
81	5049	25738
82	5104	25646
83	5165	25581
84	5226	25518
85	5281	25425
86	5341	25355
87	5398	25275
88	5453	25184
89	5507	25091
90	5564	25011
91	5625	24945
92	5681	24863
93	5743	24805
94	5801	24731
95	5855	24643
96	5906	24539
97	5965	24470
98	6022	24393
99	6081	24325
100	6138	24249
101	6196	24176
102	6250	24091
103	6306	24013
104	6361	23930
105	6413	23837
106	6468	23756
107	6521	23670
108	6573	23581
109	6625	23492
110	6685	23429
111	6746	23370
112	6801	23294
113	6856	23216
114	6913	23146
115	6970	23074
116	7023	22992
117	7079	22917
118	7131	22831
119	7184	22749
120	7236	22667
121	7288	22583
122	7341	22501
123	7395	22423
124	7447	22343
125	7502	22269
126	7557	22197
127	7608	22112
128	7661	22033
129	7712	21950
130	7765	21874
131	7819	21798
132	7870	21718
133	7922	21638
134	7975	21564
135	8028	21486
136	8080	21410
137	8131	21330
138	8184	21255
139	8237	21181
140	8290	21108
141	8343	21034
142	8397	20965
143	8453	20898
144	8508	20830
145	8558	20750
146	8613	20683
147	8670	20621
148	8725	20554
149	8777	20480
150	8828	20404
151	8884	20340
152	8939	20274
153	8994	20208
154	9051	20147
155	9106	20082
156	9164	20021
157	9215	19947
158	9269	19878
159	9320	19806
160	9373	19737
161	9424	19662
162	9473	19586
163	9527	19519
164	9580	19450
165	9634	19384
166	9683	19308
167	9741	19250
168	9794	19182
169	9853	19126
170	9909	19065
171	9963	18999
172	10017	18935
173	10072	18870
174	10126	18806
175	10184	18748
176	10241	18689
177	10293	18620
178	10349	18560
179	10403	18495
180	10459	18433
181	10516	18375
182	10572	18314
183	10625	18247
184	10684	18193
185	10740	18132
186	10794	18067
187	10850	18007
188	10909	17951
189	10962	17886
190	11018	17825
191	11072	17761
192	11121	17690
193	11175	17627
194	11229	17564
195	11283	17501
196	11336	17436
197	11388	17369
198	11440	17303
199	11490	17235
200	11550	17182
201	11603	17117
202	11656	17053
203	11708	16988
204	11762	16926
205	11812	16858
206	11865	16795
207	11920	16734
208	11974	16673
209	12028	16610
210	12079	16544
211	12129	16478
212	12182	16414
213	12234	16350
214	12283	16282
215	12335	16219
216	12385	16153
217	12438	16089
218	12489	16025
219	12549	15971
220	12614	15925
221	12693	15895
222	12764	15855
223	12839	15820
224	12915	15785
225	12971	15726
226	13022	15661
227	13074	15597
228	13127	15534
229	13178	15470
230	13230	15407
231	13280	15341
232	13333	15279
233	13383	15214
234	13501	15225
235	13582	15193
236	13646	15143
237	13705	15087
238	13759	15025
239	13813	14964
240	13868	14904
241	13922	14842
242	13975	14780
243	14029	14719
244	14087	14662
245	14143	14603
246	14198	14543
247	14251	14481
248	14307	14422
249	14360	14360
250	14416	14301
251	14469	14239
252	14520	14176
253	14575	14116
254	14636	14062
255	14694	14005
256	14761	13956
257	14837	13917
258	14894	13859
259	14945	13796
260	15002	13737
261	15055	13675
262	15113	13619
263	15166	13557
264	15219	13496
265	15272	13434
266	15326	13374
267	15380	13314
268	15430	13250
269	15482	13188
270	15534	13127
271	15598	13075
272	15659	13020
273	15714	12961
274	15772	12904
275	15832	12849
276	15896	12797
277	15954	12740
278	16009	12681
279	16065	12622
280	16127	12569
281	16194	12519
282	16260	12468
283	16317	12410
284	16388	12363
285	16469	12323
286	16526	12265
287	16589	12211
288	16659	12162
289	16732	12116
290	16805	12070
291	16859	12009
292	16912	11948
293	16967	11888
294	17018	11826
295	17072	11766
296	17124	11704
297	17176	11643
298	17230	11582
299	17281	11520
300	17332	11459
301	17385	11398
302	17438	11337
303	17491	11277
304	17542	11215
305	17597	11156
306	17653	11098
307	17704	11036
308	17756	10975
309	17807	10914
310	17863	10855
311	17915	10795
312	17967	10734
